X,CH1,CH2
Second,Volt,Volt
-1.2664000e-03,2.64000e-01,-3.28000e-02
-1.2660000e-03,2.96000e-01,2.00000e-02
-1.2656000e-03,2.72000e-01,-3.04000e-02
-1.2652000e-03,3.12000e-01,1.52000e-02
-1.2648000e-03,2.88000e-01,-2.00000e-02
-1.2644000e-03,3.28000e-01,1.28000e-02
-1.2640000e-03,3.12000e-01,-2.48000e-02
-1.2636001e-03,3.36000e-01,1.44000e-02
-1.2632001e-03,3.20000e-01,-2.08000e-02
-1.2628001e-03,3.44000e-01,1.60000e-03
-1.2624001e-03,3.20000e-01,-1.28000e-02
-1.2620001e-03,3.44000e-01,2.40000e-03
